,F,V,R0,eta,gamma,alpha,,Vexp,R0exp,etaexp
182,8.436494328,-15.69015286,-4.902410307,-0.139154627,0.045399555,0.017497637,,1.5341E-07,0.007428656,0.870093478
183,8.570268126,-15.67005119,-4.856587439,-0.14228065,0.043135809,0.045685986,,1.56525E-07,0.007776978,0.867377793
184,8.655337959,-15.69820063,-4.904513782,-0.157819546,0.04491958,0.082477967,,1.5218E-07,0.007413047,0.854003877
185,8.640257679,-15.71015227,-4.915365048,-0.136206057,0.045640769,0.035926018,,1.50372E-07,0.00733304,0.872662795
186,8.517308183,-15.68915423,-4.871591231,-0.144039764,0.041076521,0.100454578,,1.53563E-07,0.007661165,0.865853318
187,8.37835825,-15.65282862,-4.913992758,-0.117728076,0.046420675,0.136646896,,1.59244E-07,0.00734311,0.888937743
188,8.641220019,-15.70452091,-4.907961871,-0.152505088,0.047093284,0.021150755,,1.51221E-07,0.00738753,0.858554526
189,8.626649989,-15.715861,-4.910008198,-0.141768897,0.039098228,0.027826008,,1.49516E-07,0.007372428,0.86782179
190,8.572540756,-15.70071903,-4.880454694,-0.123371912,0.044102592,0.021660947,,1.51797E-07,0.00759356,0.883934856
191,8.663368514,-15.67611599,-4.918233422,-0.136909007,0.042096572,0.069422284,,1.55578E-07,0.007312037,0.872049573
192,8.600332784,-15.67797139,-4.897209886,-0.111492964,0.044834094,0.032474737,,1.5529E-07,0.007467389,0.894497685
193,8.589246589,-15.6880609,-4.917282673,-0.130791539,0.047293931,0.060134087,,1.53731E-07,0.007318992,0.877400659
194,8.478993802,-15.69691548,-4.911650099,-0.159359963,0.044089646,0.026628665,,1.52376E-07,0.007360333,0.852689367
195,8.602042212,-15.69770336,-4.902179559,-0.138074323,0.04499114,0.054516863,,1.52256E-07,0.00743037,0.871033952
196,8.703768132,-15.67482185,-4.916670538,-0.134589948,0.045729117,0.096749533,,1.5578E-07,0.007323474,0.874074255
197,8.589715897,-15.70946305,-4.932322034,-0.137245328,0.043789433,0.050352314,,1.50476E-07,0.007209743,0.871756334
198,8.50402388,-15.68902215,-4.929067839,-0.140905929,0.046493298,0.06973968,,1.53583E-07,0.007233243,0.868571015
199,8.581334206,-15.66828985,-4.912844931,-0.131134553,0.044849855,0.066545994,,1.56801E-07,0.007351544,0.87709975
200,8.626357771,-15.68428661,-4.90244523,-0.147178166,0.045611597,0.033100521,,1.54312E-07,0.007428397,0.863140182
201,8.565897111,-15.73491871,-4.931377835,-0.146307082,0.047965973,0.032880314,,1.46694E-07,0.007216553,0.863892376
202,8.549784848,-15.67778765,-4.911697451,-0.129410296,0.044160566,0.028108907,,1.55319E-07,0.007359985,0.8786134
203,8.552187555,-15.69019771,-4.908141794,-0.143218045,0.048801546,0.037193759,,1.53403E-07,0.007386201,0.866565098
204,8.579568491,-15.66990263,-4.904208631,-0.135250171,0.04585765,0.03364296,,1.56548E-07,0.007415309,0.873497361
205,8.456342317,-15.68228612,-4.930599415,-0.144316378,0.046313333,0.025033213,,1.54621E-07,0.007222173,0.865613844
206,8.468600591,-15.70139112,-4.924952693,-0.160601379,0.049389553,0.026639792,,1.51695E-07,0.00726307,0.851631481
