,F,V,R0,eta0,etainf,n,tcr,gamma,alpha
2107,2.7830864546890384,-14.51671511916157,-4.430417712883895,3.4628450292608997,-6.527049123698663,-0.25665865420591394,-0.33711292243721963,0.06892023606645017,0.09605188184851046
2108,2.8730188731958064,-14.543579784872247,-4.499046399181311,3.464869191711693,-7.141957776042773,-0.25961878456559456,-0.348378393974793,0.06450779776781448,0.12841787615408604
2109,2.724170428948975,-14.519598613358495,-4.445750458924866,3.4684621332685897,-7.116771731952799,-0.25534420212013564,-0.3521978342096441,0.0665281186082,0.09005522428832442
2110,2.797366804170642,-14.478005624937772,-4.452311254305635,3.4661496718603124,-6.908190929842317,-0.2592944026379148,-0.35903607708984225,0.06518360854867056,0.20985131173458849
2111,2.544993172709381,-14.464848684938344,-4.421352386476351,3.4649399947870814,-6.365225350526364,-0.25523359740275275,-0.368666475645512,0.06756434764432097,0.056560687598636694
2112,2.8102291648954854,-14.520624015443863,-4.431829510645782,3.4632047236790897,-6.800461384778039,-0.2586330021678594,-0.3209881827548928,0.06631399933456544,0.14378985575164704
2113,2.773848519269706,-14.521551137539475,-4.442751498638366,3.4661122773759714,-6.788951940790393,-0.26144069615395854,-0.4149249528928892,0.06468684122844234,0.14494683670875896
2114,3.047270666389355,-14.559317124120795,-4.425574589361306,3.4685662778867967,-6.827930439504175,-0.24205663274698602,-0.41492504698271504,0.06722329089620789,0.05938886474008771
2115,2.8144534423547585,-14.445150060095132,-4.446286975301655,3.4675116179853025,-6.8580748663613855,-0.24875081166588126,-0.41995192214945865,0.07052006311843709,0.08536846043714319
2116,2.934176838255996,-14.50637161082174,-4.4111359529955685,3.471530596270242,-6.6396725544773645,-0.2809602548257968,-0.4691602598744801,0.06680114469403671,0.12358337259614247
2117,2.8318412752646807,-14.456425927712527,-4.468160385659015,3.4706286768445564,-6.841150269333381,-0.261238077294094,-0.21445885182567853,0.06757039254679785,0.15423835085404197
2118,2.75225190612781,-14.475320701765071,-4.41404486318483,3.467820063825754,-6.823374163619616,-0.2658671758009783,-0.4491092460709308,0.06544119831450176,0.1532541561006607
2119,2.713072761799421,-14.525366494244233,-4.4280489359979285,3.4676168266221965,-6.845317436542204,-0.2571826332779441,-0.3692245763421305,0.07116621695129097,0.08951985236890363
2120,2.7180365351401443,-14.494131883426949,-4.449807129569587,3.4716482218690548,-7.137266763200796,-0.2531062398087547,-0.41253136666694357,0.06331647967346296,0.11544290093001992
2121,2.950626481620701,-14.560442282473753,-4.4271972575697545,3.4636904022779618,-7.099637793953329,-0.25518698639545023,-0.3852512788866128,0.06680179798497292,0.010025753668293502
2122,2.8886068707664685,-14.547325511284289,-4.385636847011831,3.4617840330855576,-6.668218280564713,-0.2595739236836166,-0.25689805264784915,0.06580795793616386,0.15586782021262668
2123,2.9005700955506657,-14.550588784059661,-4.433895379667,3.473964697302567,-6.962864861851645,-0.2586691359631484,-0.38388522128466995,0.06635771628530408,0.08952525716031484
2124,2.859218449630409,-14.566116767390605,-4.457420288089128,3.4661003728757938,-7.079954294780967,-0.2553270237041912,-0.3721102103860061,0.06642878347517732,0.06669263373977521
2125,2.958722352176315,-14.53095318293835,-4.389140625427715,3.4667795439057616,-7.199470503828086,-0.2531218473776951,-0.32421849500478633,0.0630647900423536,0.0935868487252341
2126,2.9030923634904435,-14.535578235704513,-4.442884086413188,3.463558124742332,-6.755018778790028,-0.26085184719490234,-0.3295122822762855,0.06659803543486884,0.11573371900080079
2127,2.7373215110876443,-14.49743207874327,-4.4033419832443155,3.4654570556159827,-7.1872899657530605,-0.25374524366806367,-0.34689512784671217,0.0672190388114274,0.10487344509754609
2128,2.912790920163734,-14.481351879056716,-4.43341793803671,3.467998185869872,-7.216169169850142,-0.2554392524174585,-0.2689046081843866,0.06648009179587436,0.1674847625654981
2129,2.924360151267789,-14.56917975635609,-4.397659153945801,3.4650871002048915,-7.111068814323767,-0.25163534668298754,-0.3725008818733828,0.06598136944119055,0.1623559096697714
2130,2.871088609633051,-14.537684537244763,-4.495951543679169,3.4643635983741103,-6.984719301379726,-0.26166956631482136,-0.4559119960387894,0.065503304591418,0.10009526352656896
2131,2.8296213091716744,-14.491986516809785,-4.415112466559672,3.4658606642928325,-6.856172634874644,-0.2584684596609717,-0.39264308023760613,0.06886165408112713,0.1894434446361581
2132,2.9721613370150655,-14.582339991861279,-4.415673546983018,3.4693940282768234,-7.030101768946817,-0.2628924708071705,-0.369733041719345,0.06545389096720168,0.10971905093583358
